,growth_factor_fmp,inflation_factor_fmp,real_rates_factor_fmp,credit_factor_fmp,currency_factor_fmp,liquidity_factor_fmp,tail_risk_factor_fmp,growth,inflation,real_rates,credit,currency,liquidity,tail_risk
1975-06-30,-3.231322415,-0.998448886,1.133016782,-1.249163913,-0.585368984,-2.881618469,0.508681643,1.26329243,0.777509324,2.861054756,0.927374745,1.601111695,-0.425751692,0.179860077
1975-07-31,3.61618441,-0.421524353,0.96189347,-2.644797319,3.40670769,7.123031603,2.376019046,0.687809696,1.04719463,2.474276481,-1.942113207,4.954665851,0.157808149,-0.018368625
1975-08-31,9.87313415,-1.225395078,-0.362625978,-3.810148916,3.979247243,2.506680489,3.409281344,1.325110729,-0.379558754,0.861195418,-2.592546488,2.690714261,-1.325356903,1.123696639
1975-09-30,-9.070374346,2.305300801,1.444383186,2.574370967,2.02941333,-3.990954389,-5.668646779,0.934367101,0.479602162,1.376884902,-0.223964345,3.848557613,-0.48259471,-0.008551034
1975-10-31,-1.164403599,-0.980098241,-1.69858847,0.758116406,-1.966684089,-5.922569226,0.423945715,0.333016714,-0.098529891,-1.938851328,2.380931425,-2.42965187,-0.738448362,-0.525936159
1975-11-30,-1.030843129,-1.507059175,0.520168622,-1.976410256,1.350171193,-3.735218959,1.382936373,-0.330435254,0.480317119,0.972035834,0.160119195,1.492042004,-0.268160718,-1.741146299
1975-12-31,0.512214037,0.236594877,-1.331212182,0.976804244,-0.10665423,1.284679596,0.070770163,0.115628086,-0.105107168,-2.018967206,0.51660841,-0.195458124,-0.726066768,-0.974388253
1976-01-31,-0.78904337,0.577386776,-0.430680783,-0.538691361,-0.945424931,-6.235765639,-5.750055177,1.219283381,-0.397104201,-0.139846654,0.836481297,-0.446816284,-0.003159179,-0.404123775
1976-02-29,-0.28164701,-0.225881075,-0.11326169,-0.038146904,-0.7009064,0.405574758,1.257367973,0.825423813,-0.977752936,-0.244454766,-1.547527503,-0.342138637,-0.687438184,-0.864747979
1976-03-31,1.643674295,1.292978603,-0.883343389,-1.216938418,1.807915162,-1.140701326,-1.08914298,-1.021998927,-0.965251916,-0.464446639,-0.132706147,0.986348378,-0.634372542,-1.87444731
1976-04-30,2.449963594,-0.612830878,-0.358736526,-1.348698988,1.43468488,0.181983167,1.828382427,0.672002587,-0.953220444,0.026037879,0.198356593,0.232689565,-0.899693288,-1.886979491
1976-05-31,-0.067121611,0.518843055,0.961077192,-0.50767007,0.780712007,-0.585967789,-0.616377144,-0.610589417,-0.061353637,1.094680743,-2.739017201,0.778861562,-0.935036258,-1.750975069
1976-06-30,-0.751836556,0.352357249,-0.338669955,0.204960098,-1.600465054,-3.621922058,-1.628746478,-0.221083204,-0.060967626,-0.195222813,0.723186443,-0.419380681,-0.971111423,-1.455872134
